11,Turtle Bay Beach Club,Mombasa,40000,5,"Turtle Bay Beach Club offers guests an array of room amenities including air conditioning, a mosquito net, and a desk, and getting online is possible, as free internet access is available. The all-inclusive resort offers a concierge, to make your visit even more pleasant. The property also features a pool and free breakfast. Guests arriving by vehicle have access to free parking.",https://images.unsplash.com/photo-1520250497591-112f2f40a3f4?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
12,Voyager Beach Resort,Kisumu,35000,5,"Moored seven kilometres north of Mombasa city centre, Voyager Beach Resort's convenient 'berth' gives guests easy access to a huge variety of historical, sporting and cultural attractions. The vibrant themed resort is famous for hosting some of Africa's finest family entertainments and animation programs, including unique themed journeys across the seven seas, culinary extravaganzas, with very supervised kids' activities and days out with Africa's best-known and most experienced childrens' safari club.",https://plus.unsplash.com/premium_photo-1678286769888-ef3698e72a6c?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
13,Peponi Hotel,Lamu,15000,4,"Peponi Hotel offers a pool and free breakfast, which will help make your Lamu Island trip additionally gratifying. While you�re here, be sure to check out some of the seafood restaurants, including Peponi Hotel Restaurant, Seafront Cafe, and Bush Gardens Restaurant, all of which are a short distance from Peponi Hotel.",https://images.unsplash.com/photo-1512918728675-ed5a9ecdebfd?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
14,Satao Tented Camp,Kisumu,20000,5,Satao Camp is arguably one of the best locations in Africa for observing elephants from your tent. The atmosphere in the evenings with the Impala and Waterbuck sitting all around you is something quite unique and special. With only 20 tents Satao Camp is small and private. It is located away from the main congested areas of Tsavo so one can enjoy the privacy of being at one with nature. This is a true Safari Experience.,https://images.unsplash.com/photo-1578683010236-d716f9a3f461?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
15,Villa Rosa Kempinski,Nairobi,100000,5,"Looking for a place to stay in Nairobi? Then look no further than Villa Rosa Kempinski Nairobi, a family-friendly hotel that brings the best of Nairobi to your doorstep. Guest rooms offer a flat screen TV, air conditioning, and a minibar, and Villa Rosa Kempinski Nairobi makes getting online easy as free wifi is available. You can also take advantage of some of the amenities offered by the hotel, including a rooftop terrace, a concierge, and room service. In addition, guests can enjoy a pool and free breakfast during their visit.",https://images.unsplash.com/photo-1498503182468-3b51cbb6cb24?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
16,Maasai Mara Safari Camp,Narok,80000,5,"Next-level glamping in the Olare Motorogi Conservancy at the northern edge of Masai Mara National Reserve. With only twelve safari tents, it offers guests the best of the bush but without the mass tourism elements that take away from the experience.",https://images.unsplash.com/photo-1551882547-ff40c63fe5fa?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
17,Safari Lodge,Narok,90000,5,"Exclusive traversing rights and unrestricted game viewing, guests can enjoy everything from night drives to early morning Pyjama Safaris",https://images.unsplash.com/photo-1600011689032-8b628b8a8747?q=80&w=1974&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
18,Serengeti Retreat,Narok,75000,5,"Sitting in between the border of Kenya and Tanzania, The Serengeti Retreat is one of Africa�s finest safari destinations. Extending over undulating plains and isolated rocky hills, it is one of the oldest, largest and most famous national hotels.",https://images.unsplash.com/photo-1615460549969-36fa19521a4f?q=80&w=1974&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
19,Mombasa Seaside Inn,Mombasa,13000,4,"Set in Mombasa and only 1.2 km from Nyali Beach, Seaside Residence Nyali Mombasa offers accommodation with sea views, free WiFi and free private parking. This apartment provides air-conditioned accommodation with a balcony. The accommodation features a lift and full-day security for guests.",https://images.unsplash.com/photo-1596436889106-be35e843f974?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
20,Lake Bogoria Spa Resort,Baringo,17000,4,"Nestled in the Great Rift Valley, Lake Bogoria Spa Resort is the only Resort in Kenya with a natural heated Spa Pool- known as 'the healing place' because of its therapeutic values. Guests can unwind with a soothing massage, a swim at our half Olympic size cold water pool. The key facilities include: - accommodation, conference facilities, swimming pool, natural heated spa pool, 4 bars, 2 restaurants, Massage Parlor.",https://images.unsplash.com/photo-1606402179428-a57976d71fa4?q=80&w=1074&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
21,Safari Park,Nairobi,65000,4,"Safari Park Hotel offers a variety of restaurants offering cuisines from Italian, African, Japanese and Chinese. Guests can relax at Hemingway�s lounge and bar which features an open-air terrace with views of the garden.",https://images.unsplash.com/photo-1598605272254-16f0c0ecdfa5?q=80&w=1171&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
